+--------+-----------+------------+----------------+--------------------------------------------------------+------------------------------------------------------------------+-----------------------------------+-----------+-----------------------------------+-----------+--------------+---------------------+---------------------+
| League | Year      | GameDate   | GameID         | BoxScoreURL                                            | PlayByPlayURL                                                    | HomeNameFull                      | HomeName3 | AwayNameFull                      | AwayName3 | HaveBoxScore | HavePlayByPlay      | AnalyzedPlayByPlay  |
+--------+-----------+------------+----------------+--------------------------------------------------------+------------------------------------------------------------------+-----------------------------------+-----------+-----------------------------------+-----------+--------------+---------------------+---------------------+
| NBA    | 2005-2006 | 2005-11-01 | 20051101DALPHX | http://www.nba.com/games/20051101/DALPHX/boxscore.html | http://scores.nba.com/games/20051101/DALPHX/PlayByPlayPrint.html | Phoenix Suns                      | PHX       | Dallas Maverics                   | DAL       | NULL         | 2006-02-06 01:09:53 | 2006-03-04 15:51:57 |
| NBA    | 2005-2006 | 2005-11-01 | 20051101DENSAS | http://www.nba.com/games/20051101/DENSAS/boxscore.html | http://scores.nba.com/games/20051101/DENSAS/PlayByPlayPrint.html | San Antonio Spurs                 | SAN       | Denver Nuggets                    | DEN       | NULL         | 2006-02-06 01:10:20 | 2006-03-04 15:52:55 |
| NBA    | 2005-2006 | 2005-11-01 | 20051101MILPHI | http://www.nba.com/games/20051101/MILPHI/boxscore.html | http://scores.nba.com/games/20051101/MILPHI/PlayByPlayPrint.html | Philadelphia 76ers                | PHL       | Milwaukee Bucks                   | MIL       | NULL         | 2006-02-06 01:10:44 | 2006-03-04 15:54:07 |
| NBA    | 2005-2006 | 2005-11-01 | 20051101SACNOK | http://www.nba.com/games/20051101/SACNOK/boxscore.html | http://scores.nba.com/games/20051101/SACNOK/PlayByPlayPrint.html | New Orleans/Oklahoma City Hornets | NOK       | Sacramento Kings                  | SAC       | NULL         | 2006-02-06 01:11:14 | 2006-03-04 15:55:09 |
| NBA    | 2005-2006 | 2005-11-02 | 20051102ATLGSW | http://www.nba.com/games/20051102/ATLGSW/boxscore.html | http://scores.nba.com/games/20051102/ATLGSW/PlayByPlayPrint.html | Golden State Warriors             | GOS       | Atlanta Hawks                     | ATL       | NULL         | 2006-02-06 19:06:16 | 2006-03-05 11:16:21 |
| NBA    | 2005-2006 | 2005-11-02 | 20051102CHACHI | http://www.nba.com/games/20051102/CHACHI/boxscore.html | http://scores.nba.com/games/20051102/CHACHI/PlayByPlayPrint.html | Chicago Bulls                     | CHI       | Charlotte Bobcats                 | CHA       | NULL         | 2006-02-06 19:06:46 | 2006-03-05 11:17:54 |
| NBA    | 2005-2006 | 2005-11-02 | 20051102DALUTA | http://www.nba.com/games/20051102/DALUTA/boxscore.html | http://scores.nba.com/games/20051102/DALUTA/PlayByPlayPrint.html | Utah Jazz                         | UTH       | Dallas Maverics                   | DAL       | NULL         | 2006-02-06 19:07:16 | 2006-03-05 11:19:07 |
| NBA    | 2005-2006 | 2005-11-02 | 20051102INDORL | http://www.nba.com/games/20051102/INDORL/boxscore.html | http://scores.nba.com/games/20051102/INDORL/PlayByPlayPrint.html | Orlando Magic                     | ORL       | Indianapolis Pacers               | IND       | NULL         | 2006-02-06 19:08:09 | 2006-03-05 11:20:06 |
| NBA    | 2005-2006 | 2005-11-02 | 20051102LACSEA | http://www.nba.com/games/20051102/LACSEA/boxscore.html | http://scores.nba.com/games/20051102/LACSEA/PlayByPlayPrint.html | Seattle Supersonics               | SEA       | Los Angeles Clippers              | LAC       | NULL         | 2006-02-06 19:08:29 | 2006-04-10 16:31:24 |
