+----------+-----------------+-----------------+--------+-----------+-----------+----------------+
| PlayerID | PlayerName      | PlayerTrueName  | League | TeamName3 | Year      | GameIDFound    |
+----------+-----------------+-----------------+--------+-----------+-----------+----------------+
|        1 | J. Howard       | J. Howard       | NBA    | DAL       | 2005-2006 | 20051122HOUDAL |
|        1 | Howard          | J. Howard       | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|        2 | K. Thomas       | K. Thomas       | NBA    | PHX       | 2005-2006 | 20051106SACPHX |
|        2 | Thomas          | K. Thomas       | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|        3 | Dampier         | Dampier         | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|        4 | Marion          | Marion          | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|        5 | Nowitzki        | Nowitzki        | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|        6 | Terry           | Terry           | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|        7 | R. Bell         | R. Bell         | NBA    | PHX       | 2005-2006 | 20060301MILPHX |
|        7 | Bell            | R. Bell         | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|        8 | Nash            | Nash            | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|        9 | Christie        | Christie        | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|       10 | Jones           | J. Jones        | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|       10 | J. Jones        | J. Jones        | NBA    | PHX       | 2005-2006 | 20051116MEMPHX |
|       11 | Van Horn        | Van Horn        | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|       12 | Diaw            | Diaw            | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|       13 | J. Jackson      | J. Jackson      | NBA    | LAL       | 2005-2006 | Transaction Li |
|       13 | J. Jackson      | J. Jackson      | NBA    | PHX       | 2005-2006 | 20051103PHXLAL |
|       13 | Jackson         | J. Jackson      | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|       14 | M. Daniels      | M. Daniels      | NBA    | DAL       | 2005-2006 | 20060215WASDAL |
|       14 | Daniels         | M. Daniels      | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|       15 | D. Harris       | D. Harris       | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|       16 | Barbosa         | Barbosa         | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|       17 | Diop            | Diop            | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|       18 | Grant           | Grant           | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|       19 | Armstrong       | Armstrong       | NBA    | DAL       | 2005-2006 | 20051101DALPHX |
|       20 | House           | House           | NBA    | PHX       | 2005-2006 | 20051101DALPHX |
|       21 | Martin          | K. Martin       | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       21 | K. Martin       | K. Martin       | NBA    | DEN       | 2005-2006 | 20051109SACDEN |
|       22 | Nesterovic      | Nesterovic      | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       23 | Camby           | Camby           | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       24 | Ginobili        | Ginobili        | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       25 | Anthony         | Anthony         | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       26 | Duncan          | Duncan          | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       27 | Lenard          | V. Lenard       | NBA    | POR       | 2005-2006 | Transaction Li |
|       27 | Lenard          | Lenard          | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       28 | Bowen           | B. Bowen        | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       28 | B. Bowen        | B. Bowen        | NBA    | SAN       | 2005-2006 | 20051117HOUSAS |
|       29 | Finley          | Finley          | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
